Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2004-12-31,481.799988,55.52,104.040001,39.009998
2005-01-03,482.700012,55.900002,104.949997,39.150002
2005-01-04,478.600006,55.299999,104.269997,38.41
2005-01-05,484.600006,54.98,103.800003,38.490002
2005-01-06,489.299988,56.279999,105.230003,38.709999
2005-01-07,486.5,56.060001,104.779999,38.400002
2005-01-10,483.399994,56.049999,104.980003,38.27
2005-01-11,482.200012,55.450001,104.169998,37.900002
2005-01-12,480.700012,55.279999,103.269997,37.990002
2005-01-13,476.0,55.5,102.940002,37.77
2005-01-14,475.100006,56.07,104.220001,37.810001
2005-01-18,481.700012,56.450001,105.0,38.400002
2005-01-19,480.399994,55.43,104.059998,37.84
2005-01-20,477.700012,54.849998,103.400002,37.25
2005-01-21,479.299988,54.48,103.330002,36.849998
2005-01-24,483.600006,54.07,103.239998,36.880001
2005-01-25,485.100006,54.400002,102.860001,36.860001
2005-01-26,484.799988,54.169998,103.260002,36.830002
2005-01-27,485.600006,53.75,104.0,36.75
2005-01-28,483.799988,54.369999,106.120003,37.0
2005-01-31,490.5,55.959999,107.849998,37.330002
2005-02-01,494.799988,57.25,108.400002,37.5
2005-02-02,496.799988,57.07,108.589996,37.52
2005-02-03,491.5,57.18,108.739998,37.389999
2005-02-04,497.799988,58.68,110.019997,37.689999
2005-02-07,497.299988,58.07,109.589996,37.970001
2005-02-08,494.799988,58.599998,111.550003,37.759998
2005-02-09,491.799988,58.169998,111.449997,37.5
2005-02-10,489.799988,58.869999,112.769997,37.450001
2005-02-11,494.0,60.32,112.769997,37.48
2005-02-14,492.5,60.27,111.970001,37.5
2005-02-15,494.0,60.0,112.709999,37.549999
2005-02-16,491.799988,59.73,112.269997,37.330002
2005-02-17,488.0,59.610001,110.599998,36.779999
2005-02-18,485.700012,57.650002,109.0,36.509998
2005-02-22,479.5,56.880001,107.860001,35.93
2005-02-23,483.799988,57.029999,109.110001,36.48
2005-02-24,483.0,56.709999,108.5,36.68
2005-02-25,482.799988,57.66,110.099998,36.970001
2005-02-28,477.200012,56.470001,108.800003,36.549999
2005-03-01,478.799988,56.950001,110.019997,37.09
2005-03-02,481.299988,56.740002,109.730003,36.990002
2005-03-03,479.700012,56.93,109.410004,37.009998
2005-03-04,484.0,58.389999,111.529999,37.509998
2005-03-07,484.700012,59.200001,112.800003,37.34
2005-03-08,484.700012,59.400002,112.629997,36.939999
2005-03-09,478.799988,59.959999,110.870003,36.470001
2005-03-10,481.5,59.98,111.330002,36.360001
2005-03-11,477.899994,58.490002,109.550003,36.110001
2005-03-14,482.200012,59.0,110.0,36.450001
2005-03-15,478.0,58.849998,110.540001,36.25
2005-03-16,473.700012,57.950001,109.970001,36.25
2005-03-17,472.399994,57.07,110.040001,36.150002
2005-03-18,468.5,57.779999,109.980003,36.009998
2005-03-21,457.600006,57.009998,109.599998,35.790001
2005-03-22,444.399994,55.700001,107.989998,35.060001
2005-03-23,444.5,55.639999,108.059998,34.93
2005-03-24,445.200012,55.59,108.400002,34.93
2005-03-28,447.700012,55.48,109.68,34.849998
2005-03-29,443.5,53.610001,108.449997,34.580002
2005-03-30,449.200012,55.279999,109.800003,34.950001
2005-03-31,449.399994,57.25,109.989998,34.599998
2005-04-01,446.200012,56.869999,109.300003,34.25
2005-04-04,445.899994,58.299999,111.0,33.77
2005-04-05,449.399994,56.450001,110.589996,34.580002
2005-04-06,451.5,56.599998,112.5,34.68
2005-04-07,454.600006,55.98,113.529999,34.799999
2005-04-08,454.0,55.669998,112.93,34.5
2005-04-11,456.100006,54.34,112.089996,34.619999
2005-04-12,464.5,54.75,111.760002,35.040001
2005-04-13,458.100006,53.130001,110.010002,34.57
2005-04-14,454.0,52.330002,108.489998,34.189999
2005-04-15,457.5,51.490002,106.489998,33.93
2005-04-18,462.100006,51.580002,107.349998,34.639999
2005-04-19,463.5,51.73,106.690002,34.950001
2005-04-20,461.299988,50.189999,104.330002,34.759998
2005-04-21,462.700012,51.18,105.110001,35.040001
2005-04-22,463.200012,50.25,104.190002,34.869999
2005-04-25,467.799988,51.220001,105.739998,35.169998
2005-04-26,466.200012,50.540001,105.720001,35.080002
2005-04-27,470.5,51.18,107.760002,35.5
2005-04-28,461.899994,50.439999,106.230003,35.02
2005-04-29,469.600006,52.619999,106.790001,35.490002
2005-05-02,465.299988,49.389999,104.459999,35.57
2005-05-03,468.0,49.419998,104.370003,35.5
2005-05-04,469.700012,50.380001,106.269997,36.099998
