,val
2004-12-31,
2005-01-03,0.005262
2005-01-04,-0.011152
2005-01-05,0.001081
2005-01-06,0.013209
2005-01-07,-0.005479
2005-01-10,-0.002007
2005-01-11,-0.007643
2005-01-12,-0.00311
2005-01-13,-0.003696
2005-01-14,0.005468
2005-01-18,0.010939
2005-01-19,-0.011076
2005-01-20,-0.009505
2005-01-21,-0.003703
2005-01-24,0.000347
2005-01-25,0.001245
2005-01-26,-0.000443
2005-01-27,-0.000277
2005-01-28,0.008754
2005-01-31,0.017079
2005-02-01,0.010368
2005-02-02,0.000796
2005-02-03,-0.002706
2005-02-04,0.014711
2005-02-07,-0.00197
2005-02-08,0.004113
2005-02-09,-0.005296
2005-02-10,0.004619
2005-02-11,0.008502
2005-02-14,-0.002606
2005-02-15,0.001627
2005-02-16,-0.004679
2005-02-17,-0.009836
2005-02-18,-0.01485
2005-02-22,-0.013117
2005-02-23,0.009625
2005-02-24,-0.001843
2005-02-25,0.009748
2005-02-28,-0.013851
2005-03-01,0.00946
2005-03-02,-0.000949
2005-03-03,-0.000588
2005-03-04,0.016874
2005-03-07,0.005543
2005-03-08,-0.00221
2005-03-09,-0.007774
2005-03-10,0.001776
2005-03-11,-0.013796
2005-03-14,0.00781
2005-03-15,-0.002958
2005-03-16,-0.007361
2005-03-17,-0.005013
2005-03-18,-5.8e-05
2005-03-21,-0.011539
2005-03-22,-0.021728
2005-03-23,-0.000978
2005-03-24,0.000956
2005-03-28,0.003289
2005-03-29,-0.015512
2005-03-30,0.016788
2005-03-31,0.006949
2005-04-01,-0.007537
2005-04-04,0.006503
2005-04-05,-0.000898
2005-04-06,0.006873
2005-04-07,0.002132
2005-04-08,-0.005191
2005-04-11,-0.005806
2005-04-12,0.008787
2005-04-13,-0.01811
2005-04-14,-0.012204
2005-04-15,-0.008596
2005-04-18,0.010201
2005-04-19,0.002185
2005-04-20,-0.015518
2005-04-21,0.009573
2005-04-22,-0.007674
2005-04-25,0.013179
2005-04-26,-0.004861
2005-04-27,0.013289
